thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A13","V5","00001","*","method","infinity","INIT",".",">V>","DIRECTION => ""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">A>","""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">>>","""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">M>","""NEW"" => ""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">>>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE","32","*-*","self~positive = self~new(""The positive infinity"",  1)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6",".",".","method","infinity","INIT",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT","75","*-*","use strict arg objectName, direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">>>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
